                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                  1.477,                 1.2293,                 1.2981,                0.60964,                0.38672,                0.40401,                0.19415,                 2.0176,                 1.7542,                 1.8551,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4564,                   1.22,                 1.2902,                0.53011,                0.41016,                 0.4237,                 0.2006,                 1.9345,                 1.7619,                 1.7794,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4665,                 1.1987,                 1.2826,                0.53829,                0.45703,                0.45099,                0.21568,                 1.9487,                 1.7012,                 1.7722,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4586,                 1.1744,                 1.2729,                0.48466,                0.47656,                0.44298,                0.19988,                 2.0312,                 1.6856,                 1.8284,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.4595,                 1.1823,                 1.2724,                0.51835,                0.45402,                0.43099,                0.20326,                 1.9901,                 1.6562,                  1.823,               0.001208,               0.001208,               0.001208
                     43,                 1.4412,                 1.1655,                 1.2684,                0.58581,                0.39844,                0.43237,                0.20113,                 1.9609,                 1.7241,                  1.796,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4396,                 1.1558,                 1.2687,                0.57473,                0.42969,                 0.4561,                0.20932,                 1.9903,                 1.6968,                 1.8133,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.4316,                 1.1414,                  1.266,                0.50649,                0.42188,                0.41223,                0.19461,                 1.9853,                 1.7583,                 1.8045,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4198,                 1.1323,                 1.2656,                0.50612,                0.44835,                0.42691,                 0.1951,                 1.9862,                 1.7043,                 1.8239,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4247,                  1.128,                 1.2598,                0.51101,                0.48438,                0.43168,                0.19545,                 2.0231,                 1.6919,                 1.8231,               0.001109,               0.001109,               0.001109
                     48,                 1.3998,                  1.104,                 1.2506,                0.55537,                0.48828,                  0.476,                0.22476,                 1.9513,                 1.6438,                 1.7772,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.4046,                 1.1059,                 1.2445,                0.54258,                0.44141,                0.43826,                0.21245,                 1.9407,                 1.6503,                 1.7642,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4029,                 1.1074,                 1.2501,                0.59168,                0.40625,                0.42447,                0.20153,                 1.9662,                 1.7171,                 1.8156,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3809,                 1.0864,                 1.2437,                0.50526,                0.44922,                0.39464,                0.17937,                 1.9891,                 1.7627,                  1.824,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3882,                  1.092,                  1.239,                0.51895,                0.47656,                 0.4164,                0.19949,                 1.9571,                 1.7479,                 1.8183,                0.00101,                0.00101,                0.00101
                     53,                 1.3812,                 1.0593,                 1.2319,                0.56992,                0.47656,                0.44894,                0.21709,                  1.987,                 1.6576,                 1.8003,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3701,                 1.0584,                 1.2233,                0.48094,                0.50391,                0.42846,                0.19783,                 2.0294,                 1.6954,                 1.8395,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3784,                 1.0492,                 1.2269,                0.56246,                0.42188,                0.39791,                0.18386,                 2.0198,                 1.7519,                  1.821,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3547,                 1.0377,                 1.2152,                0.56167,                0.43359,                0.42396,                0.19194,                 1.9928,                 1.6948,                 1.8038,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3482,                 1.0198,                 1.2056,                0.49679,                0.46094,                0.40432,                 0.1922,                  1.989,                 1.7287,                 1.8297,               0.000911,               0.000911,               0.000911
                     58,                 1.3461,                 1.0175,                 1.2101,                0.49919,                0.46875,                0.40187,                0.17889,                 2.0498,                 1.7321,                 1.9083,              0.0008912,              0.0008912,              0.0008912
                     59,                  1.335,                0.99302,                 1.2117,                0.56135,                0.43359,                0.41661,                0.19099,                 2.0052,                 1.7041,                 1.8411,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.333,                 0.9991,                 1.2054,                0.55098,                0.44531,                0.44148,                0.20939,                 2.0045,                 1.6587,                 1.8467,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3383,                 1.0009,                 1.2062,                0.53023,                0.44922,                0.41369,                0.19681,                 1.9831,                 1.7508,                 1.8166,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3224,                 0.9794,                 1.2019,                0.57251,                0.46484,                0.45159,                0.20529,                 2.0263,                 1.6785,                 1.8312,               0.000812,               0.000812,               0.000812
                     63,                 1.3279,                0.98064,                 1.2047,                0.47919,                0.54688,                0.44497,                0.21103,                  1.984,                 1.6248,                  1.786,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3048,                0.97284,                 1.1931,                0.48605,                0.48047,                0.40914,                0.19726,                 2.0086,                 1.7257,                 1.8225,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3092,                0.96227,                 1.1971,                0.61649,                0.45312,                0.47238,                0.22232,                 2.0168,                 1.6207,                 1.8314,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3025,                0.94813,                 1.1833,                0.53521,                 0.4453,                0.40848,                0.19404,                 2.0044,                 1.6959,                  1.866,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2962,                0.94757,                 1.1839,                0.60729,                0.47117,                0.44462,                0.20411,                 2.0148,                 1.7164,                 1.8646,               0.000713,               0.000713,               0.000713
                     68,                 1.2899,                0.93878,                 1.1781,                0.46973,                0.47656,                 0.4087,                0.19163,                 2.0336,                 1.7278,                 1.8485,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2816,                0.92165,                 1.1724,                0.57737,                0.48828,                0.44377,                0.19578,                 2.0109,                 1.6666,                 1.8355,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2702,                0.90644,                  1.165,                0.61933,                0.44531,                0.44534,                0.20037,                 2.0638,                 1.6588,                 1.8817,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2889,                0.91784,                 1.1757,                0.52992,                0.45703,                0.40172,                0.18212,                 2.0264,                 1.7329,                  1.859,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2599,                0.90655,                 1.1592,                0.58528,                0.44531,                0.42771,                0.19179,                 2.0314,                 1.7169,                 1.8512,               0.000614,               0.000614,               0.000614
                     73,                 1.2456,                0.89061,                 1.1607,                0.57269,                0.44922,                0.40765,                0.19118,                 1.9932,                 1.6459,                 1.8401,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2591,                0.89796,                 1.1585,                0.52278,                0.49609,                0.43362,                 0.1979,                 2.0042,                  1.702,                 1.8258,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2578,                0.89068,                 1.1565,                0.52109,                0.48454,                0.43018,                0.19993,                 2.0306,                 1.6331,                 1.8782,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2508,                0.87853,                  1.149,                 0.5382,                0.50781,                0.43633,                0.19547,                 2.0778,                 1.6951,                  1.927,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2402,                0.87339,                 1.1537,                0.59171,                0.48438,                0.45707,                 0.2099,                 2.0247,                 1.6358,                 1.8735,               0.000515,               0.000515,               0.000515
                     78,                 1.2291,                0.85739,                 1.1508,                 0.5431,                0.49219,                 0.4493,                0.21153,                 2.0113,                 1.6485,                 1.8406,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2221,                0.86288,                 1.1402,                0.58008,                0.46947,                0.43526,                0.20169,                 1.9887,                 1.6148,                 1.8467,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2213,                0.85311,                  1.141,                0.58794,                0.44032,                0.42507,                0.19524,                 1.9916,                 1.6824,                 1.8508,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2192,                0.84213,                 1.1358,                0.57436,                0.48495,                0.43411,                0.19674,                 2.0275,                 1.6282,                 1.8908,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2153,                 0.8405,                 1.1376,                0.50995,                0.50391,                0.43074,                0.20013,                  2.051,                 1.5728,                 1.9204,               0.000416,               0.000416,               0.000416
                     83,                 1.1992,                0.83246,                 1.1343,                0.53959,                0.46484,                0.41826,                0.19602,                 2.0379,                 1.6332,                 1.8903,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2038,                0.81745,                 1.1339,                 0.6004,                0.44922,                0.42719,                0.19515,                 2.0651,                 1.6546,                 1.9345,              0.0003764,              0.0003764,              0.0003764
                     85,                   1.19,                0.82443,                 1.1275,                0.56496,                0.45148,                0.42562,                0.20014,                 2.0694,                 1.6732,                 1.9519,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1893,                0.81274,                   1.13,                 0.5477,                0.46875,                0.42658,                0.20569,                 2.0316,                 1.6541,                 1.9138,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.176,                0.80196,                 1.1191,                0.54995,                0.46484,                0.41884,                0.19488,                 2.0544,                 1.6836,                 1.9442,               0.000317,               0.000317,               0.000317
                     88,                 1.1793,                0.80092,                 1.1182,                0.48256,                0.50781,                0.40111,                0.19009,                 2.0488,                 1.7018,                 1.9328,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1557,                0.78376,                 1.1077,                0.55834,                0.48828,                0.42251,                0.19373,                 2.0335,                 1.6893,                 1.9136,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1706,                0.79739,                 1.1141,                0.56252,                0.44922,                0.40986,                0.19162,                 2.0669,                  1.676,                 1.9411,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1424,                0.72286,                  1.089,                 0.5639,                0.45965,                0.42997,                0.19813,                 2.0701,                 1.6541,                 1.9636,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1141,                0.69349,                 1.0758,                0.57551,                0.48723,                0.43634,                0.20035,                 2.0591,                 1.6748,                  1.925,               0.000218,               0.000218,               0.000218
                     93,                 1.1133,                0.68781,                 1.0763,                0.55808,                0.47656,                0.42795,                0.19767,                 2.0425,                 1.6891,                 1.9006,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1039,                0.66848,                 1.0689,                0.51951,                    0.5,                0.42597,                0.19451,                 2.0821,                  1.731,                 1.9477,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.093,                0.66847,                 1.0668,                0.58105,                0.47133,                0.43681,                0.20422,                 2.0651,                 1.7049,                 1.9435,              0.0001586,              0.0001586,              0.0001586
                     96,                  1.097,                0.66113,                 1.0643,                0.52409,                0.51172,                0.43695,                0.20534,                 2.0696,                 1.6728,                 1.9559,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0824,                0.65544,                 1.0595,                0.55009,                0.51953,                0.42856,                0.20314,                 2.0389,                 1.7091,                  1.918,               0.000119,               0.000119,               0.000119
                     98,                  1.078,                0.64968,                 1.0583,                0.59878,                 0.4722,                0.42874,                0.20245,                 2.0519,                 1.7011,                 1.9444,               9.92e-05,               9.92e-05,               9.92e-05
