                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8072,                 2.4021,                 1.5513,                0.20871,                0.35958,                0.18098,                0.05814,                 2.2029,                 2.7045,                 1.9494,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.8563,                 2.0111,                 1.5726,                0.47984,                0.33203,                0.33494,                0.13473,                   2.01,                  2.445,                 1.8743,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.8796,                 1.9266,                 1.5652,                0.32914,                0.33984,                0.29244,                0.11359,                 2.1055,                 2.2079,                 1.8123,              0.0019574,              0.0019574,              0.0019574
                      4,                 1.8567,                 1.8458,                 1.5353,                0.46298,                0.34014,                0.35912,                0.15126,                 2.1034,                 2.0478,                 1.8971,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8337,                 1.8096,                 1.5201,                0.44889,                0.36328,                0.31659,                0.14069,                 2.0494,                 2.1996,                 1.8538,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7886,                 1.7691,                 1.5005,                0.34779,                0.41797,                0.33253,                0.13942,                 2.0135,                 2.0632,                 1.7724,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7769,                 1.6991,                  1.486,                0.37789,                0.36328,                0.31816,                0.12267,                 2.0793,                 2.1532,                 1.8297,               0.001901,               0.001901,               0.001901
                      8,                 1.7763,                 1.6819,                 1.4915,                0.45669,                0.42578,                0.39074,                0.16797,                 2.0362,                 1.9653,                 1.8671,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7367,                 1.6587,                 1.4614,                0.55807,                0.36328,                0.41772,                0.18427,                 1.9183,                 1.9117,                 1.7125,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7064,                  1.619,                 1.4504,                0.43115,                 0.4375,                 0.3731,                 0.1567,                 1.9681,                 1.9205,                 1.7757,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7083,                 1.6016,                 1.4449,                0.45089,                 0.4375,                0.41065,                0.19177,                 1.9163,                 1.8896,                 1.7331,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6877,                 1.6028,                 1.4429,                0.41977,                0.39453,                0.37977,                0.16818,                 2.0038,                 1.8797,                 1.8007,               0.001802,               0.001802,               0.001802
                     13,                 1.6808,                 1.5478,                 1.4297,                 0.4715,                 0.4635,                0.40866,                0.17299,                  1.951,                 1.9616,                 1.7248,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6768,                  1.548,                 1.4175,                0.42194,                0.44531,                 0.3912,                0.18064,                  1.902,                 1.8049,                 1.7061,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6516,                 1.5107,                 1.4074,                0.48957,                0.41406,                0.39864,                0.19167,                  1.894,                 1.8431,                  1.748,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.6503,                 1.5092,                 1.3976,                0.42671,                0.45703,                0.39435,                0.16835,                 1.9789,                 1.8475,                 1.7734,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6257,                 1.5022,                 1.3948,                0.42978,                0.42188,                0.39608,                0.17057,                 2.0305,                 1.8291,                 1.8269,               0.001703,               0.001703,               0.001703
                     18,                 1.6139,                 1.4768,                 1.3783,                0.38853,                0.47266,                0.37636,                0.18215,                 1.9364,                 1.8051,                 1.7395,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6122,                 1.4572,                  1.387,                0.47081,                0.41356,                0.40609,                0.17484,                 1.9769,                 1.7844,                 1.7711,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.621,                 1.4733,                 1.3827,                0.50644,                0.34766,                0.37121,                0.16118,                   2.02,                 1.9395,                 1.8365,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.597,                 1.4408,                 1.3859,                0.51445,                0.41406,                0.43431,                0.19092,                 1.9609,                 1.8208,                 1.7594,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.599,                 1.4315,                 1.3757,                 0.4762,                0.42578,                0.40769,                0.18636,                 2.0368,                 1.8665,                 1.8579,               0.001604,               0.001604,               0.001604
                     23,                  1.584,                 1.4054,                 1.3618,                0.46848,                0.48047,                 0.4527,                0.21365,                 1.9632,                 1.8187,                 1.7479,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.5741,                 1.4016,                 1.3586,                0.46267,                0.46079,                0.41565,                0.19043,                 1.8986,                  1.767,                 1.7198,              0.0015644,              0.0015644,              0.0015644
                     25,                   1.58,                 1.3762,                  1.361,                 0.4882,                0.42969,                0.42121,                0.19643,                 1.9657,                 1.7871,                 1.7377,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5479,                 1.3751,                 1.3403,                0.51978,                0.45703,                0.44117,                0.20194,                 1.9717,                 1.6934,                 1.7483,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.558,                 1.3816,                 1.3446,                0.48511,                0.41219,                0.38801,                0.18608,                 1.9738,                 1.7827,                 1.8118,               0.001505,               0.001505,               0.001505
                     28,                 1.5482,                 1.3443,                 1.3417,                0.46872,                0.44141,                0.43036,                0.18988,                 1.9954,                 1.7678,                 1.7836,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5323,                 1.3332,                 1.3365,                0.52131,                    0.5,                  0.454,                0.20564,                 1.9886,                  1.679,                 1.8434,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.5353,                 1.3267,                 1.3335,                0.55592,                0.39844,                0.42915,                0.19773,                 1.9716,                 1.7943,                 1.8302,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.5234,                  1.302,                 1.3323,                0.53965,                0.43359,                0.46429,                0.21984,                 1.9487,                 1.6468,                 1.7634,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.5006,                 1.2945,                 1.3214,                0.45576,                0.44922,                0.37691,                0.17062,                 1.9681,                 1.7438,                 1.7808,               0.001406,               0.001406,               0.001406
                     33,                 1.5151,                 1.2869,                 1.3138,                 0.5924,                0.38039,                0.42213,                0.20146,                 1.9521,                 1.7992,                 1.8087,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.4965,                 1.2651,                 1.3081,                0.58766,                0.44141,                0.47373,                0.21708,                 1.9188,                 1.7005,                 1.7601,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5098,                 1.2764,                 1.3166,                0.55348,                0.45703,                0.44364,                0.21846,                 1.9357,                 1.6556,                 1.7524,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4963,                 1.2556,                 1.3043,                0.45905,                0.45312,                0.41131,                0.19303,                 1.9629,                 1.7459,                 1.7705,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4841,                 1.2363,                 1.3033,                0.48346,                0.43359,                0.43292,                0.19897,                 1.9971,                 1.7015,                  1.838,               0.001307,               0.001307,               0.001307
